time,open,high,low,close,volume
2025-12-05T15:20:00.000Z,155.926,155.927,155.926,155.927,1
2025-12-05T15:21:00.000Z,155.927,155.928,155.927,155.928,1
2025-12-05T15:22:00.000Z,155.928,155.93,155.928,155.93,1
2025-12-05T15:23:00.000Z,155.93,155.931,155.93,155.931,1
2025-12-05T15:24:00.000Z,155.931,155.932,155.931,155.932,1
2025-12-05T15:25:00.000Z,155.932,155.933,155.932,155.933,1
2025-12-05T15:26:00.000Z,155.933,155.934,155.933,155.934,1
2025-12-05T15:27:00.000Z,155.934,155.936,155.934,155.936,1
2025-12-05T15:28:00.000Z,155.936,155.937,155.936,155.937,1
2025-12-05T15:29:00.000Z,155.937,155.938,155.937,155.938,1
2025-12-05T15:30:00.000Z,155.938,155.939,155.938,155.939,1
2025-12-05T15:31:00.000Z,155.939,155.941,155.939,155.941,1
2025-12-05T15:32:00.000Z,155.941,155.942,155.941,155.942,1
2025-12-05T15:33:00.000Z,155.942,155.944,155.942,155.944,1
2025-12-05T15:34:00.000Z,155.944,155.945,155.944,155.945,1
2025-12-05T15:35:00.000Z,155.945,155.946,155.945,155.946,1
2025-12-05T15:36:00.000Z,155.946,155.947,155.946,155.947,1
2025-12-05T15:37:00.000Z,155.947,155.949,155.947,155.949,1
2025-12-05T15:38:00.000Z,155.949,155.95,155.949,155.95,1
2025-12-05T15:39:00.000Z,155.95,155.951,155.95,155.951,1
2025-12-05T15:40:00.000Z,155.951,155.952,155.951,155.952,1
2025-12-05T15:41:00.000Z,155.952,155.953,155.952,155.953,1
2025-12-05T15:42:00.000Z,155.953,155.955,155.953,155.955,1
2025-12-05T15:43:00.000Z,155.955,155.956,155.955,155.956,1
2025-12-05T15:44:00.000Z,155.956,155.957,155.956,155.957,1
2025-12-05T15:45:00.000Z,155.957,155.958,155.957,155.958,1
2025-12-05T15:46:00.000Z,155.958,155.959,155.958,155.959,1
2025-12-05T15:47:00.000Z,155.959,155.961,155.959,155.961,1
2025-12-05T15:48:00.000Z,155.961,155.962,155.961,155.962,1
2025-12-05T15:49:00.000Z,155.962,155.963,155.962,155.963,1
2025-12-05T15:50:00.000Z,155.963,155.964,155.963,155.964,1
2025-12-05T15:51:00.000Z,155.964,155.965,155.964,155.965,1
2025-12-05T15:52:00.000Z,155.965,155.966,155.965,155.966,1
2025-12-05T15:53:00.000Z,155.966,155.967,155.966,155.967,1
2025-12-05T15:54:00.000Z,155.967,155.968,155.967,155.968,1
2025-12-05T15:55:00.000Z,155.968,155.969,155.968,155.969,1
2025-12-05T15:56:00.000Z,155.969,155.97,155.969,155.97,1
