time,open,high,low,close,volume
2025-01-02T00:00:00.000Z,157.719,157.916,157.653,157.851,100
2025-01-02T04:00:00.000Z,157.851,157.916,156.449,157.745,120
2025-01-02T08:00:00.000Z,157.745,158.403,157.614,158.272,280
2025-01-02T12:00:00.000Z,158.272,158.732,158.206,158.732,320
2025-01-02T16:00:00.000Z,158.732,158.798,158.535,158.601,120
2025-01-02T20:00:00.000Z,158.601,158.667,157.653,157.719,60
2025-01-03T00:00:00.000Z,157.362,157.43,157.339,157.407,100
2025-01-03T04:00:00.000Z,157.407,157.43,157.028,157.371,120
2025-01-03T08:00:00.000Z,157.371,157.598,157.326,157.552,280
2025-01-03T12:00:00.000Z,157.552,157.711,157.53,157.711,320
2025-01-03T16:00:00.000Z,157.711,157.733,157.643,157.666,120
2025-01-03T20:00:00.000Z,157.666,157.688,157.339,157.362,60
2025-01-06T00:00:00.000Z,157.481,157.732,157.397,157.649,100
2025-01-06T04:00:00.000Z,157.649,157.732,156.274,157.515,120
2025-01-06T08:00:00.000Z,157.515,158.353,157.347,158.185,280
2025-01-06T12:00:00.000Z,158.185,158.772,158.101,158.772,320
2025-01-06T16:00:00.000Z,158.772,158.855,158.52,158.604,120
2025-01-06T20:00:00.000Z,158.604,158.688,157.397,157.481,60
2025-01-07T00:00:00.000Z,157.743,157.898,157.691,157.846,100
2025-01-07T04:00:00.000Z,157.846,157.898,157.39,157.764,120
2025-01-07T08:00:00.000Z,157.764,158.279,157.661,158.176,280
2025-01-07T12:00:00.000Z,158.176,158.537,158.124,158.537,320
2025-01-07T16:00:00.000Z,158.537,158.588,158.382,158.434,120
2025-01-07T20:00:00.000Z,158.434,158.485,157.691,157.743,60
2025-01-08T00:00:00.000Z,158.236,158.332,158.204,158.3,100
2025-01-08T04:00:00.000Z,158.3,158.332,157.902,158.249,120
2025-01-08T08:00:00.000Z,158.249,158.569,158.185,158.505,280
2025-01-08T12:00:00.000Z,158.505,158.73,158.473,158.73,320
2025-01-08T16:00:00.000Z,158.73,158.762,158.633,158.665,120
2025-01-08T20:00:00.000Z,158.665,158.698,158.204,158.236,60
2025-01-09T00:00:00.000Z,158.192,158.3,158.156,158.264,100
2025-01-09T04:00:00.000Z,158.264,158.3,157.581,158.206,120
2025-01-09T08:00:00.000Z,158.206,158.568,158.134,158.496,280
2025-01-09T12:00:00.000Z,158.496,158.749,158.46,158.749,320
2025-01-09T16:00:00.000Z,158.749,158.785,158.64,158.676,120
2025-01-09T20:00:00.000Z,158.676,158.713,158.156,158.192,60
2025-01-10T00:00:00.000Z,158.048,158.293,157.966,158.211,100
